Indicator	Category	Ransomware	Keylogger	Worm	Backdoor	Techniques
Accesses /etc/environment file.	general	0	0	0	0	T1082
Accesses /etc/group file.	general	0	0	0	0	T1069
Accesses /etc/gshadow file.	general	0	0	0	0	T1087;T1531
Accesses /etc/host configuration files.	general	0	0	1	0	T1498;T1016
Accesses /etc/init.d directory.	general	0	0	0	1	
Accesses /etc/login.defs file.	general	0	0	0	0	
Accesses /etc/network/interfaces file.	general	0	0	1	0	T1016
Accesses /etc/networks file.	general	0	0	1	0	
Accesses /etc/pam.d/chpasswd file.	general	0	0	0	0	T1201
Accesses /etc/passwd file.	general	0	0	0	0	T1087;T1531
Accesses /etc/rc.d directory.	general	0	0	0	1	T1156
Accesses /etc/shadow file.	general	0	0	0	0	T1087;T1531
Accesses /etc/shells file.	general	0	0	0	0	
Accesses /etc/subgid file.	general	0	0	0	0	T1069
Accesses /etc/subuid file.	general	0	0	0	0	
Accesses /etc/usertty file.	general	0	0	0	0	T1033
Accesses a file through file URI.	general	0	0	0	0	
Accesses a list of logged on users.	general	0	0	0	0	T1033
Accesses a list of top visited sites.	general	0	0	0	0	
Accesses Adium chat logs.	general	0	0	0	1	T1005
Accesses AIM user account settings.	general	0	0	0	0	T1098
Accesses ARP records.	general	0	0	0	0	T1049;T1016
Accesses audit policy information.	general	0	0	0	1	
Accesses Bitcoin wallet files.	general	0	0	0	1	
Accesses Chrome certificate databases.	general	0	0	0	0	T1130
Accesses Chrome cookie databases.	general	0	0	0	0	T1005;T1539
Accesses Chrome credit card storage databases.	general	0	0	0	1	T1503;T1005
Accesses Chrome navigation history databases.	general	0	0	0	0	T1005
Accesses Chrome preferences databases.	general	0	0	0	0	T1005
Accesses Chrome session databases.	general	0	0	0	0	T1506;T1539
Accesses Chrome stored credentials databases.	general	0	0	0	1	T1003;T1503;T1005
Accesses Chromium certificate databases.	general	0	0	0	1	T1130;T1005
Accesses Chromium cookie databases.	general	0	0	0	0	T1005;T1539
Accesses Chromium credit card storage databases.	general	0	0	0	1	T1503;T1005
Accesses Chromium navigation history databases.	general	0	0	0	0	T1005
Accesses Chromium preferences databases.	general	0	0	0	0	T1005
Accesses Chromium session databases.	general	0	0	0	0	T1506;T1539
Accesses Chromium stored credentials databases.	general	0	0	0	1	T1003;T1503;T1005
Accesses clipboard.	general	0	1	0	1	T1115
Accesses command line execution history.	general	0	0	0	0	T1146;T1005
Accesses common software account info.	general	0	0	0	0	T1082;T1033
Accesses DNS configuration.	general	0	0	1	0	T1016
Accesses embedded data.	general	0	0	0	0	
Accesses EventLog.	general	0	0	0	0	T1070
Accesses Firefox add-on databases.	general	0	0	0	0	T1518;T1005
Accesses Firefox anti-phishing databases.	general	0	0	0	1	T1005;T1089
Accesses Firefox certificate databases.	general	0	0	0	0	T1005;T1130
Accesses Firefox cookie databases.	general	0	0	0	0	T1005;T1539
Accesses Firefox MIME plugin/configuration databases.	general	0	0	0	0	
Accesses Firefox navigation history databases.	general	0	0	0	1	T1005;T1217
Accesses Firefox preferences databases.	general	0	0	0	1	T1005
Accesses Firefox saved form data databases.	general	0	0	0	1	T1503;T1003
Accesses Firefox security module database.	general	0	0	0	1	T1503;T1539
Accesses Firefox session databases.	general	0	0	0	1	T1005;T1539;T1506
Accesses Firefox stored credentials databases.	general	0	0	0	1	T1503;T1003;T1005
Accesses firewall settings.	general	0	0	0	1	T1063;T1054;T1089
